NETINFO,IdeapadSlim-5,192.168.91.35,5000~`~`~`~`~`,,
PROCESSID,STATUS,LOCALIP,LOCALPORT,REMOTEIP,REMOTEPORT
1372,LISTEN,::,49664,,
2968,NONE,::,5355,,
11780,NONE,2401:4900:36af:bf8b:bf43:666c:5456:b9d4,2177,,
4,LISTEN,::,5357,,
6028,LISTEN,0.0.0.0,49668,,
6492,ESTABLISHED,127.0.0.1,50448,127.0.0.1,24124
3504,LISTEN,0.0.0.0,49667,,
1700,LISTEN,::,135,,
17812,NONE,0.0.0.0,59110,,
6492,ESTABLISHED,192.168.91.35,50454,89.187.162.154,80
4,LISTEN,192.168.91.35,139,,
17812,LISTEN,127.0.0.1,6463,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50448
6028,LISTEN,::,49668,,
1260,LISTEN,::,49665,,
2968,NONE,::,54715,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50432
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,49969
6492,ESTABLISHED,192.168.91.35,49739,209.126.120.93,443
6492,ESTABLISHED,127.0.0.1,50288,127.0.0.1,24124
6492,ESTABLISHED,127.0.0.1,50063,127.0.0.1,24124
11780,NONE,fe80::659c:286a:5010:9949,2177,,
6492,ESTABLISHED,127.0.0.1,49865,127.0.0.1,24124
15072,ESTABLISHED,192.168.91.35,5000,192.168.91.35,50464
13004,NONE,::1,1900,,
17976,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,49770,2606:4700:7::a29f:8aea,443
1700,LISTEN,0.0.0.0,135,,
4,LISTEN,0.0.0.0,50131,,
6492,ESTABLISHED,127.0.0.1,50432,127.0.0.1,24124
14296,NONE,0.0.0.0,3702,,
2968,NONE,::,62142,,
13004,NONE,::1,59790,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50231
6160,NONE,0.0.0.0,500,,
6392,NONE,::,161,,
6160,NONE,::,500,,
1336,LISTEN,::,49669,,
14296,NONE,::,3702,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50040
9768,NONE,0.0.0.0,3702,,
14960,ESTABLISHED,192.168.91.35,50463,192.168.91.35,5000
6492,ESTABLISHED,192.168.91.35,50462,89.187.162.137,80
1372,LISTEN,0.0.0.0,49664,,
6492,ESTABLISHED,127.0.0.1,49802,127.0.0.1,24124
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50288
13004,NONE,fe80::659c:286a:5010:9949,1900,,
9768,NONE,::,3702,,
3684,NONE,0.0.0.0,5353,,
5652,LISTEN,0.0.0.0,5040,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,49865
3684,NONE,192.168.91.35,59111,,
2968,NONE,0.0.0.0,54791,,
1336,LISTEN,0.0.0.0,49669,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50461
6492,ESTABLISHED,127.0.0.1,50008,127.0.0.1,24124
6492,LISTEN,127.0.0.1,24124,,
4,LISTEN,0.0.0.0,445,,
4,NONE,192.168.91.35,137,,
6468,ESTABLISHED,192.168.91.35,49408,20.198.118.190,443
2968,NONE,0.0.0.0,62142,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50008
6492,ESTABLISHED,127.0.0.1,50085,127.0.0.1,24124
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50126
14960,ESTABLISHED,192.168.91.35,50464,192.168.91.35,5000
17812,NONE,0.0.0.0,59109,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50325
6492,ESTABLISHED,127.0.0.1,50461,127.0.0.1,24124
2968,NONE,0.0.0.0,5353,,
3684,NONE,::,5353,,
2968,NONE,::,54791,,
13004,NONE,127.0.0.1,59792,,
1260,LISTEN,0.0.0.0,49665,,
6160,NONE,0.0.0.0,4500,,
4,LISTEN,::,445,,
6492,ESTABLISHED,127.0.0.1,49969,127.0.0.1,24124
6392,NONE,0.0.0.0,161,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50085
15072,ESTABLISHED,192.168.91.35,5000,192.168.91.35,50463
6492,ESTABLISHED,127.0.0.1,49900,127.0.0.1,24124
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,50063
2448,NONE,127.0.0.1,64565,,
8476,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50457,2a01:111:202c::254,443
4,LISTEN,0.0.0.0,5357,,
8476,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50451,2603:1010:400::12,443
2184,LISTEN,::,49666,,
11780,NONE,192.168.91.35,2177,,
8476,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50456,2600:140f:b800::172e:940,443
2968,NONE,::,5353,,
6160,NONE,::,4500,,
2968,NONE,0.0.0.0,54715,,
13004,NONE,fe80::659c:286a:5010:9949,59789,,
6492,ESTABLISHED,127.0.0.1,50325,127.0.0.1,24124
4,LISTEN,::,50131,,
5652,NONE,0.0.0.0,5050,,
2968,NONE,0.0.0.0,5355,,
6492,ESTABLISHED,127.0.0.1,50126,127.0.0.1,24124
5924,NONE,127.0.0.1,49664,,
9768,NONE,::,59794,,
2184,LISTEN,0.0.0.0,49666,,
17976,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50057,2606:4700:7::a29f:89ea,443
14296,NONE,0.0.0.0,63918,,
13004,NONE,192.168.91.35,1900,,
8476,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50455,2606:2800:147:120f:30c:1ba0:fc6:265a,443
13004,NONE,192.168.91.35,59791,,
9768,NONE,0.0.0.0,59793,,
8476,ESTABLISHED,192.168.91.35,50460,51.53.160.47,443
17976,ESTABLISHED,192.168.91.35,50222,162.159.133.234,443
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,49900
6492,ESTABLISHED,127.0.0.1,50040,127.0.0.1,24124
13004,NONE,127.0.0.1,1900,,
14296,NONE,::,63919,,
8476,ESTABLISHED,192.168.91.35,50453,204.79.197.222,443
8476,ESTABLISHED,2401:4900:36af:bf8b:d120:6283:bed3:2b40,50458,2603:1046:c04:101a::2,443
15072,LISTEN,192.168.91.35,5000,,
3504,LISTEN,::,49667,,
6492,ESTABLISHED,127.0.0.1,24124,127.0.0.1,49802
6492,ESTABLISHED,127.0.0.1,50231,127.0.0.1,24124
4,NONE,192.168.91.35,138,,
2752,ESTABLISHED,192.168.91.35,50255,15.197.206.217,5222
13160,ESTABLISHED,192.168.91.35,50359,20.212.88.117,443
11780,NONE,2401:4900:36af:bf8b:d120:6283:bed3:2b40,2177,,
6416,LISTEN,127.0.0.1,63342,,
0,TIME_WAIT,192.168.91.35,50452,52.109.124.191,443
